truth,mh-auto,otter,yt-auto,yt-manl,zoom-cc,zoom-tr
dearest,dearest,dearest,dearest,dearest,dearest,dearest
creature,creature,creature,creature,creature,creature,creature
in,in,in,in,in,in,in
creation,creation,creation,creation,creation,creation,creation
studying,study,studying,studying,studying,studying,studying
english,english,english,english,english,english,english
pronunciation,pronunciation,pronunciation,pronunciation,pronunciation,pronunciation,pronunciation
i,i,i,i,i,i,i
will,will,will,will,will,will,will
teach,teach,teach,teach,teach,teach,teach
you,you,you,you,you,you,you
in,in,in,in,in,in,in
my,my,my,my,my,my,my
verse,verse,verse,verse,verse,verse,verse
sounds,sounds,sounds,sounds,sounds,,sounds
like,like,like,like,like,,like
corpse,corpse,corpse,cops,corpse,co-host,corpse
corps,core,core,call,corps,,corp
horse,horse,horse,horse,horse,,horse
and,and,and,and,and,and,and
worse,worse,worse,worse,worse,worse,worse
it,i,it,it,it,it,it
will,will,will,will,will,will,will
keep,keep,keep,keep,keep,keep,keep
you,you,you,you,you,you,you
susy,susie,susie,susie,susy,susie,suzy
busy,busy,busy,busy,busy,busy,busy
make,make,make,make,make,make,make
your,your,your,your,your,your,your
head,head,head,head,head,head,head
with,with,with,with,with,with,with
heat,heat,heat,heat,heat,heat,heat
grow,grow,grow,grow,grow,grow,grow
dizzy,dizzy,dizzy,dizzy,dizzy,dizzy,dizzy
tear,tear,tear,tear,tear,tina,tear
in,in,and,and,in,and,and
eye,eye,i,i,eye,i,i
your,your,your,your,your,you,your
dress,dress,dress,dress,dress,,dress
you'll,will,you'll,you'll,you'll,,you'll
tear,tear,tear,tear,tear,address,tear
so,so,so,soul,so,so,so
shall,say,shall,shall,shall,shall,shall
i,,i,i,i,i,i
oh,oh,o,o,oh,oh,o
hear,hear,hear,hear,hear,here,hear
my,my,my,my,my,my,my
prayer,prayer,prayer,prayer,prayer,prayer,prayer
pray,,pray,pray,pray,pray,pray
console,,console,console,console,console,console
your,,your,your,your,your,your
loving,,loving,loving,loving,loving,loving
poet,,poet,poet,poet,poet,poet
make,,make,make,make,make,make
my,,my,my,my,my,my
coat,,coat,coat,coat,code,coat
look,,look,look,look,look,look
new,,new,new,new,new,new
dear,,dear,dear,dear,dear,dear
sew,,so,so,sew,so,so
it,,it,it,it,it,it
just,just,just,just,just,just,just
compare,compare,compare,compare,compare,compare,compare
heart,heart,heartbeard,heart,heart,heartbeard,heartbeard
beard,beard,,beard,beard,,
and,and,and,and,and,and,and
heard,he,herd,herd,heard,heard,herd
dies,dies,dies,dies,dies,dies,dies
and,and,and,and,and,in,and
diet,diet,diet,diet,diet,diet,diet
lord,lord,lord,lord,lord,lord,lord
and,and,and,and,and,,and
word,word,word,word,word,,word
sword,sword,sword,salt,sword,sought,sword
and,and,and,and,and,and,and
sward,sword,sword,sward,sward,sward,sword
retain,retain,retain,retain,retain,retain,retain
and,and,in,and,and,,and
britain,britain,britain,britain,britain,,britain
mind,mind,mind,mind,mind,mined,mind
the,the,the,the,the,the,the
latter,latter,latter,letter,latter,letter,letter
how,how,how,how,how,how,how
it's,it's,its,it's,it's,it,it's
,,,,,is,
written,written,written,written,written,written,written
made,,made,mate,made,mate,made
has,,has,has,has,has,has
not,,not,not,not,not,not
the,,the,the,the,the,the
sound,,sound,sound,sound,sound,sound
of,,of,of,of,of,of
bade,,bad,bed,bade,bad,bad
say,,say,say,say,say,say
said,,said,said,said,,said
pay,,pay,pay,pay,,pay
paid,,paid,paid,paid,paid,paid
laid,,late,laid,laid,late,laid
but,,but,but,but,but,but
plaid,,pled,fled,plaid,,pled
now,,now,now,now,now,now
i,i,i,i,i,i,i
surely,surely,surely,surely,surely,surely,surely
will,will,will,will,will,will,will
not,not,not,not,not,not,not
plague,plague,plague,plague,plague,plague,plague
you,you,you,you,you,you,you
with,with,with,with,with,with,with
such,such,such,such,such,such,such
words,words,words,words,words,words,words
as,as,as,as,as,as,as
vague,plaque,vague,vague,vague,vague,vague
and,and,and,and,and,and,and
ague,age,aid,egg,ague,egg,aid
,,you,you,,you,you
but,but,but,but,but,but,but
be,be,be,be,be,be,be
careful,careful,careful,careful,careful,careful,careful
how,how,how,how,how,how,how
you,you,you,you,you,you,you
speak,speak,speak,speak,speak,speak,speak
say,say,say,say,say,,say
break,break,break,breaks,break,,break
,and,,take,,,
steak,stake,steak,,steak,,stake
but,but,but,but,but,but,but
bleak,bleak,bleak,bleak,bleak,bleak,bleak
and,and,and,and,and,and,and
streak,streak,streak,streaked,streak,streak,streak
previous,cloven,previous,previous,previous,previous,previous
precious,oven,precious,precious,precious,precious,precious
fuchsia,how,fuchsia,future,fuchsia,fuchsia,fuchsia
via,,via,via,via,via,via
pipe,,pipe,pipe,pipe,pipe,pipe
snipe,,snipe,snipe,snipe,recipe,snipe
recipe,,recipe,recipe,recipe,and,recipe
and,,and,and,and,,and
choir,,quire,choir,choir,choir,choir
cloven,,cloven,cloven,cloven,cloven,cloven
oven,,oven,oven,oven,oven,oven
how,,how,how,how,howe,how
and,and,and,and,and,and,and
low,low,lo,low,low,low,low
script,script,script,script,script,script,script
receipt,receipt,receipt,receipt,receipt,receipt,receipt
shoe,show,shoe,shoe,shoe,,shoe
poem,poem,poem,poem,poem,poem,poem
,and,,,,,
toe,toe,toe,toe,toe,toe,toe
hear,here,here,here,hear,here,hear
me,,we,we,me,we,me
say,say,say,say,say,say,say
devoid,devoid,devoid,devoid,devoid,devoid,devoid
of,of,of,of,of,of,of
trickery,trickery,trickery,trickery,trickery,trickery,trickery
daughter,daughter,daughter,daughter,daughter,daughter,daughter
laughter,laughter,laughter,laughter,laughter,,laughter
and,and,and,and,and,and,and
terpsichore,terps,terpsichore,terpsichore,terpsichore,terpicory,terpsiccory
