filename,rename to,about
CoronaPoetry_ The Chaos.MediaHub.English (British) (auto-generated).srt,chaos.mh-auto.srt,transcribed by MediaHub automation
CoronaPoetry_ The Chaos.YouTube.English (auto-generated).txt,chaos.yt-auto.txt,transcribed by YouTube automation
CoronaPoetry_ The Chaos.YouTube.English.txt,chaos.yt-manl.txt,transcribed manually by Lucas Werkmeister
CoronaPoetry_ The Chaos.Zoom.cc.vtt,chaos.zoom-cc.vtt,transcribed live by Zoom closed-caption automation
CoronaPoetry_ The Chaos.Zoom.transcript.vtt,chaos.zoom-tr.vtt,transcribed post-recording by Zoom automation
CoronaPoetry_ The Chaos.otter_ai.srt,chaos.otterai.srt,transcribed by otter.ai automation
Ruize-rijmen_De_Chaos.bom,chaos.truth.bom,text downloaded from UTF-8 encoded source
Ruize-rijmen_De_Chaos.scrape.txt,chaos.truth.scrp,text scraped from https://en.wikisource.org/wiki/Ruize-rijmen/De_Chaos
Ruize-rijmen_De_Chaos.txt,chaos.truth.text,text downloaded as plain text from https://ws-export.wmcloud.org/?lang=en&title=Ruize-rijmen%2FDe_Chaos
chaos.wiki.raw,chaos.wiki.raw,wikimedia text downloaded from https://en.wikisource.org/wiki/Page%3ARuize-rijmen_1922.pdf/141?action=raw for pages 141-145
